Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194004,2.01,-0.59
194005,3.88,0.79
194006,4.54,1.26
194007,1.93,-1.11
194008,5.04,1.92
194009,2.19,-1.19
194010,2.63,-0.07
194011,3.15,0.58
194012,2.14,0.13
194101,1.60,-0.21
194102,1.11,-0.39
194103,1.14,-0.90
194104,2.11,-0.49
194105,2.82,-0.27
194106,2.37,-0.91
194107,2.40,-0.64
194108,3.73,0.61
194109,4.31,0.93
194110,5.80,3.10
194111,2.80,0.23
194112,1.82,-0.19
194201,1.60,-0.21
194202,0.98,-0.52
194203,3.48,1.44
194204,1.28,-1.32
194205,4.37,1.28
194206,3.50,0.22
194207,3.77,0.73
194208,2.78,-0.34
194209,4.58,1.20
194210,2.85,0.15
194211,2.77,0.20
194212,2.85,0.84
194301,1.90,0.09
194302,1.57,0.07
194303,2.68,0.64
194304,2.32,-0.28
194305,4.88,1.79
194306,4.91,1.63
194307,2.76,-0.28
194308,2.73,-0.39
194309,2.25,-1.13
194310,1.93,-0.77
194311,2.86,0.29
194312,0.67,-1.34
194401,1.09,-0.72
194402,1.48,-0.02
194403,2.64,0.60
194404,2.14,-0.46
194405,3.17,0.08
194406,4.10,0.82
194407,2.58,-0.46
194408,2.48,-0.64
194409,3.61,0.23
194410,1.15,-1.55
194411,2.51,-0.06
194412,1.45,-0.56
194501,0.94,-0.87
194502,1.77,0.27
194503,1.76,-0.28
194504,3.47,0.87
194505,5.23,2.14
194506,3.93,0.65
194507,2.61,-0.43
194508,3.17,0.05
194509,5.10,1.72
194510,2.75,0.05
194511,2.92,0.35
194512,1.63,-0.38
194601,2.14,0.33
194602,1.65,0.15
194603,1.79,-0.25
194604,0.87,-1.73
194605,3.44,0.35
194606,3.89,0.61
194607,1.56,-1.48
194608,2.25,-0.87
194609,2.72,-0.66
194610,2.02,-0.68
194611,2.54,-0.03
194612,2.51,0.50
194701,2.10,0.29
194702,1.26,-0.24
194703,1.70,-0.34
194704,4.65,2.05
194705,4.83,1.74
194706,2.97,-0.31
194707,2.77,-0.27
194708,2.69,-0.43
194709,4.45,1.07
194710,1.11,-1.59
194711,2.39,-0.18
194712,1.60,-0.41
194801,1.46,-0.35
194802,1.64,0.14
194803,3.39,1.35
194804,2.94,0.34
194805,2.55,-0.54
194806,3.44,0.16
194807,2.33,-0.71
194808,1.69,-1.43
194809,1.65,-1.73
194810,1.27,-1.43
194811,3.87,1.30
194812,1.86,-0.15
194901,2.67,0.86
194902,2.03,0.53
194903,2.00,-0.04
194904,1.58,-1.02
194905,2.81,-0.28
194906,4.36,1.08
194907,4.05,1.01
194908,2.46,-0.66
194909,2.84,-0.54
194910,2.44,-0.26
194911,2.25,-0.32
194912,2.86,0.85
195001,3.75,1.94
195002,2.38,0.88
195003,2.51,0.47
195004,3.94,1.34
195005,1.86,-1.23
195006,3.60,0.32
195007,3.99,0.95
195008,2.65,-0.47
195009,3.32,-0.06
195010,1.79,-0.91
195011,2.95,0.38
195012,2.26,0.25
195101,1.97,0.16
195102,2.05,0.55
195103,2.58,0.54
195104,3.44,0.84
195105,2.49,-0.60
195106,3.72,0.44
195107,3.92,0.88
195108,3.74,0.62
195109,3.61,0.23
195110,4.43,1.73
195111,2.66,0.09
195112,2.65,0.64
195201,2.44,0.63
195202,0.95,-0.55
195203,2.23,0.19
195204,2.34,-0.26
195205,3.00,-0.09
195206,2.66,-0.62
195207,5.52,2.48
195208,3.42,0.30
195209,1.71,-1.67
195210,0.69,-2.01
195211,3.11,0.54
195212,1.88,-0.13
195301,1.80,-0.01
195302,2.14,0.64
195303,2.13,0.09
195304,3.05,0.45
195305,3.07,-0.02
195306,3.81,0.53
195307,3.48,0.44
195308,2.97,-0.15
195309,2.61,-0.77
195310,1.38,-1.32
195311,1.51,-1.06
195312,1.90,-0.11
195401,1.58,-0.23
195402,2.41,0.91
195403,2.62,0.58
195404,4.17,1.57
195405,2.36,-0.73
195406,5.18,1.90
195407,2.19,-0.85
195408,1.88,-1.24
195409,3.93,0.55
195410,5.84,3.14
195411,1.78,-0.79
195412,1.63,-0.38
195501,1.35,-0.46
195502,1.37,-0.13
195503,2.16,0.12
195504,2.26,-0.34
195505,2.80,-0.29
195506,2.40,-0.88
195507,2.70,-0.34
195508,3.62,0.50
195509,1.41,-1.97
195510,3.74,1.04
195511,2.81,0.24
195512,1.52,-0.49
195601,0.72,-1.09
195602,1.41,-0.09
195603,1.99,-0.05
195604,3.25,0.65
195605,4.24,1.15
195606,3.03,-0.25
195607,3.84,0.80
195608,4.00,0.88
195609,1.54,-1.84
195610,0.61,-2.09
195611,2.36,-0.21
195612,1.54,-0.47
195701,1.36,-0.45
195702,1.25,-0.25
195703,1.29,-0.75
195704,3.26,0.66
195705,3.57,0.48
195706,3.77,0.49
195707,3.54,0.50
195708,2.26,-0.86
195709,3.15,-0.23
195710,2.73,0.03
195711,3.39,0.82
195712,2.05,0.04
195801,1.22,-0.59
195802,0.83,-0.67
195803,0.57,-1.47
195804,1.78,-0.82
195805,1.61,-1.48
195806,3.23,-0.05
195807,3.62,0.58
195808,3.44,0.32
195809,3.19,-0.19
195810,2.21,-0.49
195811,3.02,0.45
195812,1.10,-0.91
195901,1.86,0.05
195902,1.78,0.28
195903,2.20,0.16
195904,3.42,0.82
195905,3.21,0.12
195906,1.98,-1.30
195907,3.43,0.39
195908,4.89,1.77
195909,3.89,0.51
195910,4.86,2.16
195911,2.69,0.12
195912,2.26,0.25
196001,2.26,0.45
196002,1.95,0.45
196003,1.21,-0.83
196004,3.53,0.93
196005,4.55,1.46
196006,3.80,0.52
196007,3.17,0.13
196008,2.98,-0.14
196009,2.56,-0.82
196010,1.90,-0.80
196011,2.77,0.20
196012,0.79,-1.22
196101,0.60,-1.21
196102,1.54,0.04
196103,2.54,0.50
196104,2.98,0.38
196105,1.90,-1.19
196106,3.26,-0.02
196107,3.24,0.20
196108,3.08,-0.04
196109,5.48,2.10
196110,2.23,-0.47
196111,2.32,-0.25
196112,1.71,-0.30
196201,2.15,0.34
196202,2.14,0.64
196203,1.02,-1.02
196204,1.78,-0.82
196205,2.95,-0.14
196206,2.94,-0.34
196207,2.57,-0.47
196208,3.04,-0.08
196209,3.14,-0.24
196210,2.52,-0.18
196211,0.88,-1.69
196212,1.68,-0.33
196301,1.06,-0.75
196302,0.72,-0.78
196303,2.23,0.19
196304,2.18,-0.42
196305,3.10,0.01
196306,2.48,-0.80
196307,2.72,-0.32
196308,2.76,-0.36
196309,2.32,-1.06
196310,0.90,-1.80
196311,2.42,-0.15
196312,1.64,-0.37
196401,1.41,-0.40
196402,0.66,-0.84
196403,2.17,0.13
196404,3.33,0.73
196405,3.20,0.11
196406,2.09,-1.19
196407,3.34,0.30
196408,4.05,0.93
196409,3.51,0.13
196410,1.16,-1.54
196411,2.47,-0.10
196412,1.90,-0.11
196501,2.50,0.69
196502,1.98,0.48
196503,2.09,0.05
196504,2.65,0.05
196505,3.02,-0.07
196506,2.33,-0.95
196507,1.86,-1.18
196508,4.22,1.10
196509,5.56,2.18
196510,2.13,-0.57
196511,3.03,0.46
196512,3.06,1.05
196601,1.29,-0.52
196602,1.16,-0.34
196603,2.84,0.80
196604,2.75,0.15
196605,1.67,-1.42
196606,2.19,-1.09
196607,2.01,-1.03
196608,3.72,0.60
196609,2.22,-1.16
196610,2.43,-0.27
196611,4.44,1.87
196612,2.75,0.74
196701,2.59,0.78
